"ticket_id","city","issue_type","ticket_status","issue_description","ticket_closed_date_time","ticket_created_date_time","ticket_last_updated_date_time","address","lat","lng","location","image"
"22062778","Cambridge","Rodent Sighting","Archived","Rat in this english ivy patch at 110 trowbridge st","06/26/2026 10:42:45 AM","06/23/2026 09:11:02 PM","2026 Jun 26 10:42:45 AM","108 Trowbridge St Cambridge, Massachusetts, 02138","42.37663664422","-71.10948723837","POINT (-71.1094872383724 42.37663664422209)","https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDIxMzQ4NjksInB1ciI6ImJsb2JfaWQifX0=--a46412179788f7f6f0067f5d0fd9a16b5b576c5d/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJhdXRvX29yaWVudCI6dHJ1ZSwic3RyaXAiOnRydWUsInJlc2l6ZSI6IjgwMHg2MDAifSwicHVyIjoidmFyaWF0aW9uIn19--242b3e94addeeae50b5fd8df8a0a8fbcf02bf33c/930b9f52-4689-48d4-b953-9f25e2d4d715_2026-06-23T21-09-54-04-00.jpg"
"22025085","Cambridge","Rodent Sighting","Archived","Rat just hanging out in front of my building in daylight","06/24/2026 03:17:55 PM","06/18/2026 11:56:19 PM","2026 Jun 24 03:17:55 PM","17 Everett St Cambridge, Massachusetts, 02138","42.38022199141","-71.1184513186","POINT (-71.11845131860355 42.38022199141068)","https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDIwMDE2NjYsInB1ciI6ImJsb2JfaWQifX0=--52f41930cdbd097661b3bf8fc3834091929c96ef/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGVnIiwiYXV0b19vcmllbnQiOnRydWUsInN0cmlwIjp0cnVlLCJyZXNpemUiOiI4MDB4NjAwIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--a24cd3b9f26082c533845b9cc150d8421a819967/589cc794-79d4-4a47-b4df-070eaf58a74d_2026-06-18T23-55-08-04-00.jpeg"
"22035957","Cambridge","Rodent Sighting","Archived","There appears to be a path for rats at the back fence of our backyard and into the yard of our neighbors to the right at 51 Standish St. We have seen them pass by there several times in the evening.","06/24/2026 03:17:06 PM","06/20/2026 11:00:35 PM","2026 Jun 24 03:17:06 PM","53 Standish St Cambridge, Massachusetts, 02138","42.38281925786","-71.13881759399","POINT (-71.13881759398575 42.382819257863225)",
"22038271","Cambridge","Rodent Sighting","Archived","We’ve seen rats, and now there is a rat burrow in our front yard by the corner of the fence. Trash has been dragged into our yard. Please look at surrounding neighbors for violations.","06/23/2026 02:30:24 PM","06/21/2026 02:51:03 PM","2026 Jun 23 02:30:24 PM","14 Dudley St Cambridge, Massachusetts, 02140","42.39630833333","-71.129775","POINT (-71.129775 42.39630833333333)","https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDIwNDU5NTEsInB1ciI6ImJsb2JfaWQifX0=--291f4f4a336f58dc2203fa1bfe2983c22865de12/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJhdXRvX29yaWVudCI6dHJ1ZSwic3RyaXAiOnRydWUsInJlc2l6ZSI6IjgwMHg2MDAifSwicHVyIjoidmFyaWF0aW9uIn19--242b3e94addeeae50b5fd8df8a0a8fbcf02bf33c/36465b74-0f20-4b0d-8249-14f889bcbbc4_2026-06-21T14-49-44-04-00.jpg"
"21988027","Cambridge","Rodent Sighting","Archived","I am writing about the restaurant Clover in central square cambridge. I have personally observed several mice associated with this restaurant. This includes seeing mice running around during hours of operation and droppings while in the establishment. The presence of rodents raises concerns about sanitation, food safety, and pest control practices. Given the nature of a food-service establishment, I believe this issue should be investigated to ensure compliance with applicable health and safety regulations.

I respectfully request that the appropriate department inspect the property, review any relevant sanitation and pest-control records, and determine whether any violations exist.

Thank you for your attention to these concerns.

Sincerely,

A Concerned Resident","06/22/2026 03:22:05 PM","06/15/2026 01:08:18 PM","2026 Jun 22 03:22:06 PM","Mile 107.2 State Rte 2 W Cambridge, MA, 02139, USA","42.36393267525","-71.10158766016","POINT (-71.10158766015677 42.36393267524558)",
"21993959","Cambridge","Rodent Sighting","Archived","There is a family of raccoons living in the roof of this house. They are regularly invading garbage cans, yards, and grills in the surrounding area.","06/22/2026 03:18:24 PM","06/15/2026 10:08:43 PM","2026 Jun 22 03:18:24 PM","17 Vincent St Cambridge, Massachusetts, 02140","42.38765828288","-71.12563583587","POINT (-71.12563583586628 42.38765828287811)",
"22039333","Cambridge","Rodent Sighting","Archived","Rats sighted in daylight around 5:30 p.m. outside 2nd Street Deli. Dumpster had a hole in the top. One large rat went in and other rats seen in adjacent  area to the dumpsters - to the right of the Deli as you look at it. Sorry I did not have my phone with me for a photo.","06/22/2026 02:23:34 PM","06/21/2026 06:41:02 PM","2026 Jun 22 03:10:59 PM","87 2nd St CAMBRIDGE, MA, 02141, USA","42.36859244482","-71.07917990663","POINT (-71.0791799066325 42.368592444816)",
"22013136","Cambridge","Rodent Sighting","Archived","There are three baby rats that like to spend time in our backyard.  They seem to be coming from our neighbors' property on the other side of the fence. The rats are coming out in the daytime.","06/22/2026 02:22:18 PM","06/17/2026 05:09:00 PM","2026 Jun 22 02:22:18 PM","132 Antrim St Cambridge, Massachusetts, 02139","42.37317137861","-71.1014333419","POINT (-71.10143334190428 42.37317137861129)","https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDE5NjA2ODEsInB1ciI6ImJsb2JfaWQifX0=--b518d72450ceae0d11031ca3e98f57ef896a1595/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJKUEVHIiwiYXV0b19vcmllbnQiOnRydWUsInN0cmlwIjp0cnVlLCJyZXNpemUiOiI4MDB4NjAwIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--e83016f9f5352fca98928e9e8f5ff666f09d3186/7f9a58d7-cbac-4b1d-9667-00bc0ce7ebf9_2026-06-17T17-06-10-04-00.JPEG"
"21992297","Cambridge","Rodent Sighting","Archived","This past Friday, what appeared to be an injured or sick rat with open sores on its back was slowly meandering in and out of our driveway. Despite making loud noises and shooing it away from a distance, it kept coming back to us. At one point, the rat crawled up on the exterior of our windowsill. The behavior seemed quite atypical. Eventually, it stayed still under a parked car on the street. Later that night, around 10:30 PM, our neighbor was then bit by what we presume is the same rat. After flicking it off her foot, they again tried to chase it into the street - it kept coming back.","06/22/2026 07:30:42 AM","06/15/2026 06:10:52 PM","2026 Jun 22 08:10:16 AM","111 Thorndike St Cambridge, Massachusetts, 02141","42.37020728619","-71.08295719655","POINT (-71.08295719655368 42.370207286190514)",
"21999629","Cambridge","Rodent Sighting","Archived","Two rats (one small, one large) ran from the sidewalk into this garden and then under the stairs through the small opening near the wall at about 7:45pm on the 15th.  I think a third also ran and hid in the nearby greenery.","06/18/2026 03:35:46 PM","06/16/2026 01:17:46 PM","2026 Jun 18 03:35:46 PM","60 Magnolia Ave Cambridge, Massachusetts, 02138","42.37674739188","-71.10608670214","POINT (-71.10608670213543 42.37674739187639)","https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDE5MTcwNDUsInB1ciI6ImJsb2JfaWQifX0=--8dc9dd3b83869daaf2bfaf909d17acafc76e8358/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGVnIiwiYXV0b19vcmllbnQiOnRydWUsInN0cmlwIjp0cnVlLCJyZXNpemUiOiI4MDB4NjAwIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--a24cd3b9f26082c533845b9cc150d8421a819967/56f576af-d8e7-4b09-b143-5d3ce4562b6d_2026-06-16T13-15-17-04-00.jpeg"
"21998701","Cambridge","Rodent Sighting","Archived","Walking by the property I started a family of rats which scurried back under the house, the largest one was carrying what seemed like a partially consumed carcass of a smaller rat... All of this activity is enabled by the property being abandoned and the neglected/overgrown vegetation thickly covering it.","06/18/2026 03:35:32 PM","06/16/2026 12:13:14 PM","2026 Jun 18 03:35:32 PM","36 Magnolia Ave CAMBRIDGE, MA, 02138, USA","42.37688425365","-71.10674318772","POINT (-71.1067431877203 42.37688425365167)",
"22014980","Cambridge","Rodent Sighting","Archived","Multiple rat sightings (3 at a time) in daytime, under cars and behind trash cans and fence","06/18/2026 11:27:15 AM","06/17/2026 09:20:23 PM","2026 Jun 18 11:27:15 AM","222 Hurley St CAMBRIDGE, MA, 02141, USA","42.36815862331","-71.08162139331","POINT (-71.08162139331085 42.368158623310066)",
"21976627","Cambridge","Rodent Sighting","Archived","Large rat, size of rabbit, spotted in the courtyard of Glenn Terrace","06/18/2026 11:26:15 AM","06/13/2026 09:19:43 PM","2026 Jun 18 11:26:16 AM","5 Glenn Ter Cambridge, Massachusetts, 02139","42.35945066411","-71.1054067831","POINT (-71.1054067831046 42.35945066411393)",
"22007199","Cambridge","Rodent Sighting","Archived","Rats are burrowing in this greenery we saw 6 of them come out last night and running on the steps. We live next door and my mom is elderly and we do not want rats coming into the house","06/18/2026 07:34:35 AM","06/17/2026 09:47:08 AM","2026 Jun 18 07:34:35 AM","103 Otis St Cambridge, Massachusetts, 02141","42.37080796138","-71.08269775093","POINT (-71.08269775093255 42.37080796138008)","https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDE5NDE0MDMsInB1ciI6ImJsb2JfaWQifX0=--3f498619f8f25f873f6fe24b257f06d9c9026e01/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGVnIiwiYXV0b19vcmllbnQiOnRydWUsInN0cmlwIjp0cnVlLCJyZXNpemUiOiI4MDB4NjAwIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--a24cd3b9f26082c533845b9cc150d8421a819967/8b4857a7-2625-4b15-9e98-74afb1d123fb_2026-06-17T09-44-43-04-00.jpeg"
"21980741","Cambridge","Rodent Sighting","Archived","There is a rat tunnel in the back of our house, (26 Tremont ST.) which goes under the fence  to the yard directly in back of our house in the direction of Norfolk Street.. Last night my son was having a cookout and saw about 6 rats, which ran around  his and his friends feet, and one jumped on a table and bit into the bread. This is the only cookout that has been held this year and the first time anyone has eaten outside, so it is not as though thee has been food left around to attract them. This is an infestation.","06/17/2026 02:57:17 PM","06/14/2026 04:54:37 PM","2026 Jun 17 02:57:17 PM","26 Tremont St Cambridge, Massachusetts, 02139","42.37032551293","-71.09872573572","POINT (-71.09872573572152 42.37032551293485)",
"21959567","Cambridge","Rodent Sighting","Archived","Rampant rat situation in yard and under deck at 219 Harvard St. all hours of day. One dead in yard.","06/17/2026 02:33:44 PM","06/11/2026 04:47:07 PM","2026 Jun 17 02:33:44 PM","219 Harvard St CAMBRIDGE, MA, 02139, USA","42.36761430253","-71.09930417086","POINT (-71.09930417085967 42.36761430253296)",
"21976397","Cambridge","Rodent Sighting","Archived","Saw large rats, at least two, run across Second St from new Thorndike building side towards the small parklet here, and into the tall weed bushes. Some remediation is done, but rat den ready and still established in this parklet. Need big overhaul and removal of the rat nest here completely.","06/17/2026 12:45:11 PM","06/13/2026 08:18:32 PM","2026 Jun 17 12:45:11 PM","56 2nd St Cambridge, Massachusetts, 02141","42.36903315955","-71.07887932402","POINT (-71.07887932402384 42.36903315955238)","https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDE4NDY3NzIsInB1ciI6ImJsb2JfaWQifX0=--592b62d961aa77bb6a135425cbce9f1e68137759/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJhdXRvX29yaWVudCI6dHJ1ZSwic3RyaXAiOnRydWUsInJlc2l6ZSI6IjgwMHg2MDAifSwicHVyIjoidmFyaWF0aW9uIn19--242b3e94addeeae50b5fd8df8a0a8fbcf02bf33c/0184a661-fccb-4dec-9a2d-1d1c5252e07c_2026-06-13T20-12-29-04-00.jpg"
"21963091","Cambridge","Rodent Sighting","Archived","This neighbor isn’t taking out trash regularly and we’ve seen rats enter the trash and pins","06/15/2026 03:48:49 PM","06/12/2026 08:29:30 AM","2026 Jun 15 03:48:50 PM","107 Oxford St CAMBRIDGE, MA, 02138, USA","42.38338254405","-71.11619668423","POINT (-71.11619668423309 42.38338254404912)","https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDE4MDc5MTIsInB1ciI6ImJsb2JfaWQifX0=--4b46375511444570c1fe66f072bdf7937049ebaf/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGVnIiwiYXV0b19vcmllbnQiOnRydWUsInN0cmlwIjp0cnVlLCJyZXNpemUiOiI4MDB4NjAwIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--a24cd3b9f26082c533845b9cc150d8421a819967/a01201f6-be85-4b7b-8bbc-c41d80f849e8_2026-06-12T08-28-39-04-00.jpeg"
"21931765","Cambridge","Rodent Sighting","Archived","Several rats seen Monday evening running out from behind the dentist office trash area.","06/12/2026 10:11:46 AM","06/09/2026 09:40:07 AM","2026 Jun 12 10:11:46 AM","897 Massachusetts Ave Cambridge 02139, United States","42.3682992008","-71.10810359202","POINT (-71.10810359201783 42.36829920079954)",
"21959560","Cambridge","Rodent Sighting","Archived","Several rats in and around area and under deck and running through yard. One rat caught and dead in yard. 
508-308-3424",,"06/11/2026 04:46:36 PM","2026 Jun 12 07:12:40 AM","219 Harvard St Cambridge, Massachusetts, 02139","42.36761430253","-71.09930417086","POINT (-71.09930417085967 42.36761430253296)",
"21931354","Cambridge","Rodent Sighting","Archived","Rats seenb on back prch of 71 bolton St. They are keep trash in cardbord boxes on proch.","06/11/2026 03:31:23 PM","06/09/2026 09:10:04 AM","2026 Jun 11 03:31:23 PM","71 Bolton St Cambridge, Massachusetts, 02140","42.39023731067","-71.13192083832","POINT (-71.13192083832432 42.390237310666905)",
"21914569","Cambridge","Rodent Sighting","Archived","A rat was seen during the day in the back corner of 108 Trowbridge Street near the fence that abuts the properties on Roberts Road. I see there is a complaint about the nearby Roberts Rd property feeding birds/rats, so that may be the cause.","06/11/2026 03:31:03 PM","06/07/2026 11:45:52 AM","2026 Jun 11 03:31:03 PM","108 Trowbridge St CAMBRIDGE, MA, 02138, USA","42.37661818045","-71.10951424471","POINT (-71.10951424471249 42.37661818045342)",
"21911557","Cambridge","Rodent Sighting","Archived","Rats have been seen on several occasions in our back garden, entering under the fence from 277-282 Walden Street where that property’s trash and compost bins are currently located.","06/11/2026 03:30:51 PM","06/06/2026 04:28:31 PM","2026 Jun 11 03:30:51 PM","153 Garden St CAMBRIDGE, MA, 02138, USA","42.38545489297","-71.13186546021","POINT (-71.13186546021147 42.38545489296585)",
"21903905","Cambridge","Rodent Sighting","Archived","Can you please put a don’t feed the birds/rats sandwich board in front of 25 Roberts Road, occupant there is sustaining a large rat colony that is active in daylight, responding to regular  live feedings.","06/09/2026 03:49:28 PM","06/05/2026 01:07:47 PM","2026 Jun 09 03:49:28 PM","25 Roberts Rd Cambridge, Massachusetts, 02138","42.37653675465","-71.10878812666","POINT (-71.1087881266646 42.37653675464668)","https://seeclickfix.com/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NDE2MjIyMDAsInB1ciI6ImJsb2JfaWQifX0=--224ed88dfe3320aebd6fe46c9b5ccc41c2619cf5/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGVnIiwiYXV0b19vcmllbnQiOnRydWUsInN0cmlwIjp0cnVlLCJyZXNpemUiOiI4MDB4NjAwIn0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--a24cd3b9f26082c533845b9cc150d8421a819967/b0e4fdec-bf50-470e-8894-50c19c987794_2026-06-05T13-01-16-04-00.jpeg"
"21911551","Cambridge","Rodent Sighting","Archived",,"06/09/2026 11:59:52 AM","06/06/2026 04:27:03 PM","2026 Jun 09 11:59:52 AM","278 Walden St CAMBRIDGE, MA, 02138, USA","42.38560355268","-71.13177194757","POINT (-71.13177194757063 42.385603552684124)",
"21916458","Cambridge","Rodent Sighting","Archived","two large rats running up the stairs then jumping into the bushes adjacent to the apartment.","06/09/2026 11:59:34 AM","06/07/2026 05:27:07 PM","2026 Jun 09 11:59:35 AM","117 Appleton St Cambridge, Massachusetts, 02138","42.38055850956","-71.13442484808","POINT (-71.134424848079 42.380558509557)",
