"serial_number","device_name","address","latitude","longitude","active_site","device_type","total_since_install","prior_to_2023","total_2023","total_2024","total_2025","total_2026","january_2026","february_2026","march_2026","april_2026","may_2026","june_2026","july_2026","august_2026","september_2026","october_2026","november_2026","december_2026","participatory_budgeting","coordinates"
"17000786","JEFFERSON & HARDING","28 Jefferson St","42.3732","-71.0905","false","Pipe","31","0","23","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.090454 42.37322809)"
"21078962","(DPW) INMAN SQUARE ATTACHED TO FENCE IN BACK YARD OF 20 OAK ST","11 Springfield St","42.3742","-71.0999","true","Box","1",,"0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","No","POINT (-71.0999043 42.37421372)"
"21088577","(DPW) HARVARD SQUARE FRONT CORNER POINT OF PARK IN FRONT OF 1201 MASS AVE. BEHIND TRASH CANS","1201 Massachusetts Ave","42.3721","-71.1153","true","Box","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.11532412 42.37214528)"
"21007215/21061659","LYNDON JOHNSON TRASH AREA","150 Erie St","42.3593","-71.1069","true","Box","21",,"0","0","0","21","0","0","3","16","2","0","0","0","0","0","0","0","No","POINT (-71.106903 42.3593375)"
"21007009","DONNELLY FIELD","Berkshire and York St","42.3694","-71.0914","true","Box","19","0","4","5","10","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.0913946 42.3693921)"
"21026281/20127719","STARLIGHT PARKING","Bishop Richard","42.3652","-71.1019","false","Box","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.101861 42.365166)"
"21100964","(PB) AVON HILL NORTH DOWN ALLEY ON LEFT SIDE OF RESTAURANT ALONG FENCE FOR 10 LANCASTER BUILDING","1760 Massachusetts Ave","42.3852","-71.1197","true","Box","1",,"0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","Yes","POINT (-71.1196692 42.3851983)"
"21000528","CRONIN PARK IN MULCH BED AT ENTRY TO PARKING LOT","18 Pleasant St","42.3653","-71.106","true","Box","18","0","0","6","12","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.10602836 42.36526624)"
"16034676","PEMBERTON","Pemberton St","42.3906","-71.1292","false","Pipe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1292 42.39061)"
"21001462","HOYT FIELD ALONG FENCE BY MONTAGUE PARKING 1","304-310 Western Ave","42.3642","-71.1129","false","Box","35","17","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1129 42.36419)"
"21060462","(addition) HOWARD COMPLEX BESIDE SHED","14 Mildred Hamilton Pl	","42.3636","-71.1114","true","Box","19",,"0","0","11","8","4","1","0","1","1","1","0","0","0","0","0","0","Yes","POINT (-71.111397 42.3635687095)"
"21000772","ST PETERS FIELD ST PETERS FIELD LEFT OF ROLLING DOOR AT SALT SHED","79 Sherman St","42.3877","-71.1328","true","Box","3",,"0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.132843 42.387695)"
"21006246","MASS AVE LEFTY SIDE OF ENTRANCE ALONG BULDING","770 MASS AVE","42.3664","-71.1061","false","Box","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1061404 42.3663746)"
"21100851","(PB) SHANNONS TOWN RIGHT SIDE OF TRASH HOUSE 3","8 Putnam Gardens","42.366","-71.1121","true","Box","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Yes","POINT (-71.1121402 42.3659858)"
"21001462","BOX #1 RIGHT OF OLD LIBRARY STAIRS 445 BROADWAY","449 Broadway","42.374","-71.1109","false","Box","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1109 42.37401)"
"21001534","DICKINSON ST BEHIND RESTAURANTS 9","Dickinson St","42.3663","-71.0945","false","Box","24","20","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.0945 42.3663)"
"21004484/20049409","(addition) KING OPEN SCHOOL NEAR COMPOST BINS DOOR 12","122 Berkshire St","42.3715","-71.09","true","Box","25",,"0","0","24","1","0","1","0","0","0","0","0","0","0","0","0","0","Yes","POINT (-71.0900334 42.3714532)"
"21101038","(PB) INMAN SQUARE LEFT CORNER BESIDE DUMPSTER IN CHA LOT","155 Willow St","42.3739","-71.0912","true","Box","9",,"0","0","0","9","0","0","0","2","5","2","0","0","0","0","0","0","Yes","POINT (-71.09116587 42.37394128)"
"21005930","COOPER PARK","Cooper Park","42.3695","-71.1078","false","Box","13","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1078085 42.3694655)"
"21000603","101 KENNARD ST PLAYGROUND 28","101 Kinnaird St","42.367","-71.1112","false","Box","29","17","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1112 42.36705)"
"20045802","CLARY ST REAR OF HOME ALONG FENCE","10 Clary St","42.3739","-71.0983","false","Box","58","0","0","52","6","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.0982687 42.3739076)"
"21100856"," #KC CITY OF CAMBRIDGE PB #SN CENTRAL SQ BY RED DUMPSTERS ALONG FENCE"," 7 Douglass St","42.3646","-71.1013","true","Box","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Yes","POINT (-71.10129306 42.36458125)"
"21088984","(DPW) ACORN PARK INSIDE STORAGE BAY. LEFT SIDE FRONT","51 Mooney St","42.3952","-71.1525","true","Box","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.15253789 42.39520447)"
"21001002","BEHIND FENCE OUTDOOR SEATING GRENDELS DEN 29","89 Winthrop St","42.3725","-71.1208","true","Box","91","6","18","27","35","5","1","0","0","2","2","0","0","0","0","0","0","0","No","POINT (-71.1208 42.37252)"
"21006971","SILVA PARK","54 Sciarappa St","42.371","-71.0814","false","Box","5","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.0813703 42.370951)"
"21079910","HARVARD ST 279/281 ALLEY BY TRASH BINS","281 Harvard St","42.3693","-71.1039","true","Box","18",,"0","0","7","11","3","0","3","0","2","3","0","0","0","0","0","0","No","POINT (-71.1039209 42.3692608)"
"21101036"," #KC CITY OF CAMBRIDGE PB #SN CENTRAL SQ IN PARKING LOT ACROSS FROM 362 GREEN ST ENTRANCE ALONG FENCE"," 362 Green St","42.3654","-71.1055","true","Box","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Yes","POINT (-71.1055275 42.3654193)"
"21006997","GOLD STAR PARK BRICK WALL AT BASEBALL FIELD","134 Gore St","42.3725","-71.0839","true","Box","20","0","0","8","6","6","0","0","0","4","2","0","0","0","0","0","0","0","No","POINT (-71.08390431 42.37248167)"
"21089120","(PB) AREA IV ALONG METAL FENCE ON RUNS FROM SEVERAL BURROWS","570 Windsor St","42.3741","-71.0927","true","Box","22",,"0","0","0","22","0","0","0","2","10","10","0","0","0","0","0","0","Yes","POINT (-71.0927322 42.3740553)"
"21005519","NORFOLK ST","283 Norfolk St","42.3719","-71.0973","false","Box","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.097298 42.371857)"
"17001615","PROSPECT ST","374 Prospect St","42.3742","-71.0975","false","Pipe","31","0","0","1","29","1","1","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.09745532 42.374241)"
"21001248","FAR LEFT OF OLD LIBRARY STAIRS 445 BROADWAY 5","449 Broadway","42.3742","-71.1106","false","Box","30","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1106 42.37423)"
"21099648","(PB) CENTRAL SQUARE TRASH HOUSE FOR BUILDING 150 BY CIRCLE SPACE","150 Harvard St","42.2961","-71.0812","true","Box","2",,"0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","Yes","POINT (-71.0811878 42.2961321)"
"21004753","GOLD STAR PARK","123 Gore St","42.3729","-71.0838","false","Box","19","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.0837612 42.372862)"
"21004720","#KC CITY OF CAMRBIDGE #SN BROADWAY","228 Broadway","42.3663","-71.0943","false","Box","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.0943227 42.3663317)"
"21056980","(addition) PUTNAM GARDENS TRASH BUILDING 1 BOX 2","1 Putnam Gardens","42.3658","-71.1131","true","Box","23",,"0","0","15","8","4","1","2","1","0","0","0","0","0","0","0","0","Yes","POINT (-71.113121 42.365761)"
"21099780","(PB) INMAN SQUARE WILLOW STREET CHA TRASH HOUSE ACROSS FROM 137 WILLOW ST","137 Willow St","42.3733","-71.0915","true","Box","13",,"0","0","0","13","0","0","0","0","4","5","4","0","0","0","0","0","Yes","POINT (-71.0914983 42.3733075)"
"17001209","UNIVERSITY RD MANHOLE BY 6 GUMSKY AND LEVIN LLP","6 University Rd	","42.3729","-71.1231","false","Pipe","1",,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1231207 42.3729365)"
"20121684","MASS AVE","2380 Massachuettes Ave","42.3968","-71.1299","false","Box","9","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1298807 42.396832)"
"20128891/21026098","GORE ST PARK","1 5th St","42.373","-71.0831","true","Box","2",,"0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.08309017 42.3730097)"
"21048678","(addition) HOWARD COMPLEX TRASH LEFT SIDE OF THE COMPLEX","231 River St","42.3632","-71.1115","false","Box","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Yes","POINT (-71.111542 42.3631729819)"
"21089123","(PB) ACORN PARK BEHIND RED TRASH HOUSE OF TOWER 2","364 Rindge Ave","42.3932","-71.1392","true","Box","2",,"0","0","0","2","0","0","0","0","0","1","1","0","0","0","0","0","Yes","POINT (-71.13919121 42.39318619)"
"21006967","KENNEDY-LONGFELLOW SCHOOL","	158 Spring St","42.3695","-71.0872","false","Box","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.0871966 42.3695143)"
"21091646","RICHDALE ALONG WHITE FENCE IN PARKING LOT","1 RICHDALE AVE","42.3884","-71.1214","true","Box","2",,"0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1213912 42.3883538)"
"21006967","GREEN ST PARKING GARAGE AND 288 GREEN","288 Green St","42.3694","-71.0855","false","Box","9","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.08551 42.36937)"
"21058907","(addition) RINGE AND LATIN SCHOOL","1699 Cambridge St","42.3751","-71.1118","true","Box","14",,"0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","Yes","POINT (-71.111832 42.3750654954)"
"21001224","BOX #19 BEHIND TRASH CAN NEXT TO COMMUNITY GARDEN AT MCMATH PARK","Gerard Bergin Park","42.3907","-71.1274","false","Box","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1274 42.39072)"
"21007178","#KC CITY OF CAMBRIDGE #ELMWOOD STREET ","99 Elmwood St","42.3978","-71.1286","false","Box","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.128624 42.397762)"
"21101246","(DPW) HARVARD SQUARE OLD BURIAL CEMETERY IN BACK CORNER CLOSEST TO FARWELL WAY","24 Farwell Pl","42.3748","-71.1204","true","Box","6",,"0","0","0","6","0","0","0","0","4","2","0","0","0","0","0","0","No","POINT (-71.12042488 42.37483736)"
"21088677","(PB) HARVARD SQUARE ALONG THE WALL IN SECTION BETWEEN 6 & 8 ELIOT STREET","8 Eliot Street","42.3724","-71.1213","true","Box","4",,"0","0","0","4","0","0","0","0","1","3","0","0","0","0","0","0","Yes","POINT (-71.12130802 42.37240316)"
"17001209","PUTNAM ST","572 Putnam Ave","42.3571","-71.1074","false","Pipe","225","0","148","77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1074292 42.3571317)"
"21026094/20127747","GREEN ROSE PARK HARVARD SIDE","155 Harvard St","42.3659","-71.0947","true","Box","62","0","8","25","29","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.0946606 42.3658686)"
"21085004","(DPW) AREA 2/MIT BEHIND BENCHES ON THE RIGHT SIDE","43 Third St","42.3714","-71.0798","true","Box","14",,"0","0","0","14","0","0","0","2","4","8","0","0","0","0","0","0","No","POINT (-71.0797728 42.3713885)"
"21092041","MT VERNON ST TRASH AREA","34 MT VERNON ST","42.387","-71.1206","true","Box","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1206439 42.3870085)"
"21100896"," #KC CITY OF CAMBRIDGE PB #SN CENTRAL SQ "," 10 Brookline St","42.3634","-71.1016","true","Box","9",,"0","0","0","9","0","0","0","1","4","4","0","0","0","0","0","0","Yes","POINT (-71.10157676 42.36340014)"
"21006396","CLARY ST DRIVEWAY","10 Clary St","42.3739","-71.0983","true","Box","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.0982687 42.3739076)"
"21003963","(addition) MORSE SCHOOL DUMPSTER AREA DOORS 29 AND 30","Morse School Playground","42.3555","-71.1115","true","Box","40",,"0","0","15","25","0","0","0","2","19","4","0","0","0","0","0","0","Yes","POINT (-71.111499 42.3554503)"
"21089227","(DPW) HARVARD SQUARE SMALL PARK BY BUS STOP OF BENNETT STREET","6 Eliot St","42.3727","-71.1217","true","Box","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.12172809 42.37273956)"
"20124756","STARLIGHT PARKING SECURED TO DUMPSTER CORRAL FOR H-MART","84 Bishop Allen Dr","42.3651","-71.1018","false","Box","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.10183885 42.36507984)"
"21000940","#KC CITY OF CAMBRIDGE #GREEN ROSE PARK BEHIND THE TENNIS COURT BY THE ELECTRICAL BOX ON THE BROWN FENCE","155 Harvard st","42.3759","-71.1174","false","Box","2",,"0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.117363 42.375896)"
"17000117","45 PEMBERTON","45 Pemberton St","42.3914","-71.1258","false","Pipe","11","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1257562 42.3913546)"
"17003380","46 PORTER RD","46 Porter Rd","42.3891","-71.1217","false","Pipe","15",,"0","0","0","15","15","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1216871 42.3890544)"
"20125779","DUFFETT TOT LOT","33 Maple Ave","42.3733","-71.1043","false","Box","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.10426 42.3733138)"
"21006960","VIALE BROOKLINE SIDE BESIDE HOUSE ON RIGHT SIDE","48 Amory St","42.3706","-71.1011","true","Box","7",,"0","0","0","7","0","0","0","4","2","1","0","0","0","0","0","0","No","POINT (-71.1011489 42.3706261)"
"21100898","(PB) HARVARD SQUARE BACK ALLEY OF 20 ELIOT STREET. LEFT OF HARVARD SQUARE PARKING GARAGE","20 Eliot Street","42.3721","-71.1212","true","Box","5",,"0","0","0","5","0","0","0","0","5","0","0","0","0","0","0","0","Yes","POINT (-71.12121892 42.37213833)"
"17000743","REED & DUDLEY ST","Reed St & Dudley St","42.3958","-71.1322","false","Pipe","137","0","110","10","17","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1321589 42.3957732)"
"21100854","(PB) INMAN SQUARE IN CHA TRASH HOUSE OFF WINDSOR ST SECURED TO STAIRS","529 Windsor St","42.3738","-71.093","true","Box","13",,"0","0","0","13","0","0","0","1","7","3","2","0","0","0","0","0","Yes","POINT (-71.0929586 42.3737962)"
"21059060","(addition) 141 WASHINGTON ST ","141 Washington St","42.3649","-71.0948","true","Box","12",,"0","0","10","2","0","0","0","0","1","1","0","0","0","0","0","0","Yes","POINT (-71.0948445 42.3648563)"
"21006192","RINDGE LATIN SCHOOL","459 Broadway Ct","42.3741","-71.1121","false","Box","8","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1120618 42.3741386)"
"21014883","MILLERS RIVER APARTMENTS TREE ACROSS FROM TRASH BARRELS","15 Lambert St","42.3727","-71.0872","false","Box","1",,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.0871555 42.3727415)"
"21055528","(addition) LYNDON JOHNSON TRASH/RECYLCING","115 Hamilton St","42.359","-71.1067","false","Box","5",,"0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","Yes","POINT (-71.1067200104 42.3589669888)"
"21088435","(PB) HARVARD SQUARE ALLEY NEXT TO 22 BRATTLE STREET IN FRONT BY LARGE BLACK METAL DOUBLE DOORS","22 Brattle Street","42.3732","-71.1204","true","Box","12",,"0","0","0","12","0","0","0","4","6","2","0","0","0","0","0","0","Yes","POINT (-71.12035382 42.3732294)"
"21006402","HOYT FIELD","12 Gilmore St","42.364","-71.1113","false","Box","21","0","13","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1112901 42.3640086)"
"21100829","(PB) INMAN SQUARE IN WOODEN TRASH CAGE ON ROOSEVELT TOWERS","570 Windsor St","42.3741","-71.0927","true","Box","6",,"0","0","0","6","0","0","0","5","1","0","0","0","0","0","0","0","Yes","POINT (-71.0927322 42.3740553)"
"21003827","RIVER STREET","Riverside Press Park","42.3622","-71.1152","false","Box","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.11516519 42.36218264)"
"21006334","DANA SQUARE PARK","70 Magazine St","42.3615","-71.1079","false","Box","13","0","9","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.1079474 42.3614965)"
"21100819","(PB) CENTRAL SQUARE GO DOWN THE DRIVEWAY ALONG WOODEN FENCE ON LEFT SIDE BEHIND METAL TRASH CONTAINER","15 Inman St","42.3675","-71.105","true","Box","9",,"0","0","0","9","0","0","0","3","2","4","0","0","0","0","0","0","Yes","POINT (-71.1049727 42.3674846)"
"17000060","#CITY OF CAMBRIDGE #SN WINTER @ SCIARAPPA","Winter St","42.3726","-71.0812","false","Pipe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.0811673 42.3726169)"
"17000127","GORE ST","117 Gore St	","42.3724","-71.0832","false","Pipe","30",,"0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.0832159 42.3723559)"
"21100770","(PB) CAMBRIDGE PORT BEHIND DUMPSTER ALONG FENCE LINE","266 Brookline street","42.3575","-71.1077","true","Box","8",,"0","0","0","8","0","0","0","1","5","1","1","0","0","0","0","0","Yes","POINT (-71.1076925 42.3574747)"
"21001183","SILVA PARK AT ENTRANCE BY TRASH CAN 10","Silva Park","42.3708","-71.0813","false","Box","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","No","POINT (-71.0813 42.37082)"
